,Year,Month,Day,Sunspot No.
0,2019,10,1,6
1,2019,10,2,6
2,2019,10,3,0
3,2019,10,4,0
4,2019,10,5,0
5,2019,10,6,0
6,2019,10,7,0
7,2019,10,8,0
8,2019,10,9,0
9,2019,10,10,0
10,2019,10,11,0
11,2019,10,12,0
12,2019,10,13,0
13,2019,10,14,0
14,2019,10,15,0
15,2019,10,16,0
16,2019,10,17,0
17,2019,10,18,0
18,2019,10,19,0
19,2019,10,20,0
20,2019,10,21,0
21,2019,10,22,0
22,2019,10,23,0
23,2019,10,24,0
24,2019,10,25,0
25,2019,10,26,0
26,2019,10,27,0
27,2019,10,28,0
28,2019,10,29,0
29,2019,10,30,0
30,2019,10,31,0
31,2019,11,1,7
32,2019,11,2,0
33,2019,11,3,0
34,2019,11,4,4
35,2019,11,5,0
36,2019,11,6,0
37,2019,11,7,0
38,2019,11,8,0
39,2019,11,9,0
40,2019,11,10,0
41,2019,11,11,0
42,2019,11,12,0
43,2019,11,13,3
44,2019,11,14,0
45,2019,11,15,0
46,2019,11,16,0
47,2019,11,17,0
48,2019,11,18,0
49,2019,11,19,0
50,2019,11,20,0
51,2019,11,21,0
52,2019,11,22,0
53,2019,11,23,0
54,2019,11,24,0
55,2019,11,25,0
56,2019,11,26,0
57,2019,11,27,0
58,2019,11,28,0
59,2019,11,29,0
60,2019,11,30,0
61,2019,12,1,0
62,2019,12,2,0
63,2019,12,3,0
64,2019,12,4,0
65,2019,12,5,0
66,2019,12,6,0
67,2019,12,7,0
68,2019,12,8,0
69,2019,12,9,0
70,2019,12,10,0
71,2019,12,11,0
72,2019,12,12,0
73,2019,12,13,0
74,2019,12,14,0
75,2019,12,15,0
76,2019,12,16,0
77,2019,12,17,0
78,2019,12,18,0
79,2019,12,19,0
80,2019,12,20,0
81,2019,12,21,0
82,2019,12,22,0
83,2019,12,23,0
84,2019,12,24,16
85,2019,12,25,23
86,2019,12,26,8
87,2019,12,27,0
88,2019,12,28,0
89,2019,12,29,0
90,2019,12,30,0
91,2019,12,31,0
92,2020,1,1,6
93,2020,1,2,12
94,2020,1,3,13
95,2020,1,4,12
96,2020,1,5,14
97,2020,1,6,7
98,2020,1,7,4
99,2020,1,8,4
100,2020,1,9,15
101,2020,1,10,4
102,2020,1,11,0
103,2020,1,12,0
104,2020,1,13,0
105,2020,1,14,0
106,2020,1,15,0
107,2020,1,16,0
108,2020,1,17,0
109,2020,1,18,0
110,2020,1,19,0
111,2020,1,20,0
112,2020,1,21,0
113,2020,1,22,0
114,2020,1,23,0
115,2020,1,24,8
116,2020,1,25,12
117,2020,1,26,19
118,2020,1,27,14
119,2020,1,28,12
120,2020,1,29,12
121,2020,1,30,12
122,2020,1,31,12
123,2020,2,1,6
124,2020,2,2,0
125,2020,2,3,0
126,2020,2,4,0
127,2020,2,5,0
128,2020,2,6,0
129,2020,2,7,0
130,2020,2,8,0
131,2020,2,9,0
132,2020,2,10,0
133,2020,2,11,0
134,2020,2,12,0
135,2020,2,13,0
136,2020,2,14,0
137,2020,2,15,0
138,2020,2,16,0
139,2020,2,17,0
140,2020,2,18,0
141,2020,2,19,0
142,2020,2,20,0
143,2020,2,21,0
144,2020,2,22,0
145,2020,2,23,0
146,2020,2,24,0
147,2020,2,25,0
148,2020,2,26,0
149,2020,2,27,0
150,2020,2,28,0
151,2020,2,29,0
152,2020,3,1,0
153,2020,3,2,0
154,2020,3,3,0
155,2020,3,4,0
156,2020,3,5,0
157,2020,3,6,0
158,2020,3,7,2
159,2020,3,8,16
160,2020,3,9,11
161,2020,3,10,0
162,2020,3,11,0
163,2020,3,12,0
164,2020,3,13,0
165,2020,3,14,0
166,2020,3,15,0
167,2020,3,16,0
168,2020,3,17,0
169,2020,3,18,3
170,2020,3,19,0
171,2020,3,20,0
172,2020,3,21,0
173,2020,3,22,0
174,2020,3,23,0
175,2020,3,24,0
176,2020,3,25,0
177,2020,3,26,0
178,2020,3,27,0
179,2020,3,28,0
180,2020,3,29,0
181,2020,3,30,3
182,2020,3,31,11
183,2020,4,1,13
184,2020,4,2,13
185,2020,4,3,13
186,2020,4,4,13
187,2020,4,5,0
188,2020,4,6,0
189,2020,4,7,0
190,2020,4,8,0
191,2020,4,9,0
192,2020,4,10,0
193,2020,4,11,0
194,2020,4,12,0
195,2020,4,13,0
196,2020,4,14,0
197,2020,4,15,0
198,2020,4,16,0
199,2020,4,17,0
200,2020,4,18,0
201,2020,4,19,0
202,2020,4,20,0
203,2020,4,21,0
204,2020,4,22,0
205,2020,4,23,0
206,2020,4,24,0
207,2020,4,25,6
208,2020,4,26,13
209,2020,4,27,26
210,2020,4,28,15
211,2020,4,29,24
212,2020,4,30,20
213,2020,5,1,4
214,2020,5,2,0
215,2020,5,3,0
216,2020,5,4,0
217,2020,5,5,0
218,2020,5,6,0
219,2020,5,7,0
220,2020,5,8,0
221,2020,5,9,0
222,2020,5,10,0
223,2020,5,11,0
224,2020,5,12,0
225,2020,5,13,0
226,2020,5,14,0
227,2020,5,15,0
228,2020,5,16,0
229,2020,5,17,0
230,2020,5,18,0
231,2020,5,19,0
232,2020,5,20,0
233,2020,5,21,0
234,2020,5,22,0
235,2020,5,23,0
236,2020,5,24,0
237,2020,5,25,0
238,2020,5,26,0
239,2020,5,27,0
240,2020,5,28,0
241,2020,5,29,0
242,2020,5,30,0
243,2020,5,31,2
244,2020,6,1,6
245,2020,6,2,0
246,2020,6,3,9
247,2020,6,4,11
248,2020,6,5,13
249,2020,6,6,16
250,2020,6,7,16
251,2020,6,8,16
252,2020,6,9,14
253,2020,6,10,12
254,2020,6,11,11
255,2020,6,12,11
256,2020,6,13,11
257,2020,6,14,11
258,2020,6,15,8
259,2020,6,16,0
260,2020,6,17,0
261,2020,6,18,0
262,2020,6,19,0
263,2020,6,20,0
264,2020,6,21,0
265,2020,6,22,0
266,2020,6,23,0
267,2020,6,24,0
268,2020,6,25,0
269,2020,6,26,6
270,2020,6,27,4
271,2020,6,28,0
272,2020,6,29,0
273,2020,6,30,0
274,2020,7,1,5
275,2020,7,2,0
276,2020,7,3,0
277,2020,7,4,7
278,2020,7,5,5
279,2020,7,6,5
280,2020,7,7,8
281,2020,7,8,0
282,2020,7,9,0
283,2020,7,10,0
284,2020,7,11,0
285,2020,7,12,0
286,2020,7,13,0
287,2020,7,14,0
288,2020,7,15,3
289,2020,7,16,0
290,2020,7,17,0
291,2020,7,18,0
292,2020,7,19,0
293,2020,7,20,0
294,2020,7,21,6
295,2020,7,22,11
296,2020,7,23,11
297,2020,7,24,11
298,2020,7,25,11
299,2020,7,26,12
300,2020,7,27,11
301,2020,7,28,22
302,2020,7,29,22
303,2020,7,30,22
304,2020,7,31,22
305,2020,8,1,27
306,2020,8,2,17
307,2020,8,3,12
308,2020,8,4,12
309,2020,8,5,13
310,2020,8,6,13
311,2020,8,7,17
312,2020,8,8,12
313,2020,8,9,13
314,2020,8,10,13
315,2020,8,11,12
316,2020,8,12,17
317,2020,8,13,10
318,2020,8,14,5
319,2020,8,15,0
320,2020,8,16,0
321,2020,8,17,0
322,2020,8,18,13
323,2020,8,19,15
324,2020,8,20,13
325,2020,8,21,3
326,2020,8,22,0
327,2020,8,23,0
328,2020,8,24,0
329,2020,8,25,0
330,2020,8,26,0
331,2020,8,27,0
332,2020,8,28,0
333,2020,8,29,0
334,2020,8,30,0
335,2020,8,31,0
336,2020,9,1,0
337,2020,9,2,0
338,2020,9,3,0
339,2020,9,4,0
340,2020,9,5,0
341,2020,9,6,0
342,2020,9,7,0
343,2020,9,8,0
344,2020,9,9,0
345,2020,9,10,0
346,2020,9,11,0
347,2020,9,12,0
348,2020,9,13,0
349,2020,9,14,2
350,2020,9,15,0
351,2020,9,16,0
352,2020,9,17,0
353,2020,9,18,0
354,2020,9,19,0
355,2020,9,20,0
356,2020,9,21,0
357,2020,9,22,0
358,2020,9,23,8
359,2020,9,24,6
360,2020,9,25,5
361,2020,9,26,0
362,2020,9,27,0
363,2020,9,28,0
364,2020,9,29,0
365,2020,9,30,0
366,2020,10,1,0
367,2020,10,2,0
368,2020,10,3,0
369,2020,10,4,0
370,2020,10,5,0
371,2020,10,6,0
372,2020,10,7,0
373,2020,10,8,6
374,2020,10,9,23
375,2020,10,10,15
376,2020,10,11,17
377,2020,10,12,16
378,2020,10,13,0
379,2020,10,14,5
380,2020,10,15,13
381,2020,10,16,13
382,2020,10,17,13
383,2020,10,18,23
384,2020,10,19,16
385,2020,10,20,13
386,2020,10,21,11
387,2020,10,22,11
388,2020,10,23,22
389,2020,10,24,21
390,2020,10,25,22
391,2020,10,26,19
392,2020,10,27,44
393,2020,10,28,28
394,2020,10,29,37
395,2020,10,30,31
396,2020,10,31,26
397,2020,11,1,3
398,2020,11,2,8
399,2020,11,3,16
400,2020,11,4,24
401,2020,11,5,31
402,2020,11,6,41
403,2020,11,7,38
404,2020,11,8,44
405,2020,11,9,28
406,2020,11,10,27
407,2020,11,11,31
408,2020,11,12,30
409,2020,11,13,25
410,2020,11,14,22
411,2020,11,15,6
412,2020,11,16,0
413,2020,11,17,12
414,2020,11,18,12
415,2020,11,19,12
416,2020,11,20,12
417,2020,11,21,25
418,2020,11,22,37
419,2020,11,23,48
420,2020,11,24,42
421,2020,11,25,51
422,2020,11,26,57
423,2020,11,27,75
424,2020,11,28,84
425,2020,11,29,94
426,2020,11,30,85
427,2020,12,1,46
